Tank,MLI,Pitch,Roll,Reading,Qty
Left,2,-1.5,1.5,80.0,3400.0
Left,2,-1.5,1.5,100.0,3560.0
Left,2,-1.5,1.5,120.0,3730.0
Left,2,-1.5,1.5,140.0,3890.0
Left,2,-1.5,1.5,160.0,4040.0
Left,2,-1.5,1.5,180.0,4190.0
Left,2,-1.5,1.5,200.0,4330.0
Left,2,-1.5,1.5,220.0,4460.0
Left,2,-1.5,1.5,240.0,4590.0
Left,2,-1.5,1.5,260.0,4710.0
Left,2,-1.5,1.5,280.0,4830.0
Left,2,-1.5,1.5,300.0,4940.0
Left,2,-1.5,1.5,320.0,5050.0
Left,2,-1.5,1.5,340.0,5160.0
Left,2,-1.5,1.5,348.0,7110.0
Left,2,-1,-1.5,0.0,2100.0
Left,2,-1,-1.5,20.0,2260.0
Left,2,-1,-1.5,40.0,2420.0
Left,2,-1,-1.5,60.0,2590.0
Left,2,-1,-1.5,80.0,2770.0
Left,2,-1,-1.5,100.0,2950.0
Left,2,-1,-1.5,120.0,3140.0
Left,2,-1,-1.5,140.0,3330.0
Left,2,-1,-1.5,160.0,3530.0
Left,2,-1,-1.5,180.0,3740.0
Left,2,-1,-1.5,200.0,3950.0
Left,2,-1,-1.5,220.0,4170.0
Left,2,-1,-1.5,240.0,4390.0
Left,2,-1,-1.5,260.0,4620.0
Left,2,-1,-1.5,280.0,4850.0
Left,2,-1,-1.5,300.0,5070.0
Left,2,-1,-1.5,320.0,5280.0
Left,2,-1,-1.5,340.0,5480.0
Left,2,-1,-1.5,348.0,7110.0
Left,2,-1,-1.0,0.0,2210.0
Left,2,-1,-1.0,20.0,2360.0
Left,2,-1,-1.0,40.0,2530.0
Left,2,-1,-1.0,60.0,2690.0
Left,2,-1,-1.0,80.0,2870.0
Left,2,-1,-1.0,100.0,3050.0
Left,2,-1,-1.0,120.0,3230.0
Left,2,-1,-1.0,140.0,3420.0
Left,2,-1,-1.0,160.0,3620.0
Left,2,-1,-1.0,180.0,3820.0
Left,2,-1,-1.0,200.0,4020.0
Left,2,-1,-1.0,220.0,4230.0
